date,equity,cash,holding_code,scheduled_code
2023-11-13,285738.89837297704,285738.89837297704,,8411
2023-11-14,285738.89837297704,285738.89837297704,,
2023-11-15,285738.89837297704,285738.89837297704,,
2023-11-16,285738.89837297704,285738.89837297704,,7267
2023-11-17,285738.89837297704,285738.89837297704,,
2023-11-20,285738.89837297704,285738.89837297704,,
2023-11-21,285738.89837297704,285738.89837297704,,
2023-11-22,285738.89837297704,285738.89837297704,,8725
2023-11-24,285738.89837297704,285738.89837297704,,
2023-11-27,285738.89837297704,285738.89837297704,,
2023-11-28,285738.89837297704,285738.89837297704,,
2023-11-29,285738.89837297704,285738.89837297704,,
2023-11-30,285738.89837297704,285738.89837297704,,8411
2023-12-01,285738.89837297704,285738.89837297704,,
2023-12-04,285738.89837297704,285738.89837297704,,
2023-12-05,285738.89837297704,285738.89837297704,,
2023-12-06,285738.89837297704,285738.89837297704,,8316
2023-12-07,285738.89837297704,285738.89837297704,,
2023-12-08,285738.89837297704,285738.89837297704,,
2023-12-11,285738.89837297704,285738.89837297704,,7203
2023-12-12,285738.89837297704,285738.89837297704,,9433
2023-12-13,285738.89837297704,285738.89837297704,,6273
2023-12-14,285738.89837297704,285738.89837297704,,8267
2023-12-15,285738.89837297704,285738.89837297704,,6273
2023-12-18,285738.89837297704,285738.89837297704,,6178
2023-12-19,285738.89837297704,285738.89837297704,,7751
2023-12-20,285738.89837297704,285738.89837297704,,5108
2023-12-21,285738.89837297704,285738.89837297704,,
2023-12-22,285738.89837297704,285738.89837297704,,1925
2023-12-25,285738.89837297704,285738.89837297704,,8801
2023-12-26,285738.89837297704,285738.89837297704,,
2023-12-27,285738.89837297704,285738.89837297704,,9434
2023-12-28,285563.89837297704,110563.89837297704,9434,
2023-12-29,286513.8953212192,110563.89837297704,9434,
2024-01-04,289263.8953212192,110563.89837297704,9434,
2024-01-05,291663.90447649267,110563.89837297704,9434,
2024-01-09,293563.89837297704,110563.89837297704,9434,
2024-01-10,294313.89837297704,110563.89837297704,9434,
2024-01-11,298863.90142473485,110563.89837297704,9434,
2024-01-12,298813.89837297704,110563.89837297704,9434,
2024-01-15,301363.90142473485,110563.89837297704,9434,
2024-01-16,300963.8922694614,110563.89837297704,9434,
2024-01-17,303263.8953212192,110563.89837297704,9434,
2024-01-18,304913.90447649267,110563.89837297704,9434,
2024-01-19,305263.8953212192,110563.89837297704,9434,
2024-01-22,309613.90142473485,110563.89837297704,9434,
2024-01-23,309363.90142473485,110563.89837297704,9434,
2024-01-24,307713.8922694614,110563.89837297704,9434,
2024-01-25,307163.90447649267,110563.89837297704,9434,
2024-01-26,303913.90447649267,110563.89837297704,9434,
2024-01-29,306913.90447649267,110563.89837297704,9434,
2024-01-30,307313.89837297704,110563.89837297704,9434,
2024-01-31,306913.90447649267,110563.89837297704,9434,
2024-02-01,308163.90447649267,110563.89837297704,9434,
2024-02-02,308413.90447649267,110563.89837297704,9434,
2024-02-05,307163.90447649267,110563.89837297704,9434,
2024-02-06,306063.89837297704,110563.89837297704,9434,
2024-02-07,305013.8953212192,110563.89837297704,9434,
2024-02-08,304213.8922694614,110563.89837297704,9434,
2024-02-09,303292.4039914812,303292.4039914812,,
2024-02-13,303292.4039914812,303292.4039914812,,4661
2024-02-14,303292.4039914812,303292.4039914812,,
2024-02-15,303292.4039914812,303292.4039914812,,
2024-02-16,303292.4039914812,303292.4039914812,,4507
2024-02-19,303292.4039914812,303292.4039914812,,6954
2024-02-20,303292.4039914812,303292.4039914812,,6723
2024-02-21,303292.4039914812,303292.4039914812,,4578
2024-02-22,303292.4039914812,303292.4039914812,,4507
2024-02-26,303292.4039914812,303292.4039914812,,
2024-02-27,303292.4039914812,303292.4039914812,,
2024-02-28,303292.4039914812,303292.4039914812,,
2024-02-29,303292.4039914812,303292.4039914812,,4307
2024-03-01,303292.4039914812,303292.4039914812,,1925
2024-03-04,303292.4039914812,303292.4039914812,,
