strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-01,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-02,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-05,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-06,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-07,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-08,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-09,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-12,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-13,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-14,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-15,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-16,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-20,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-21,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-22,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-26,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-27,297579.9951171875,0.0,297579.9951171875,0.0,0
